id,x,y
302,138.285,3.42128
303,139.465,3.14089
304,145.223,3.12411
305,145.222,2.99584
306,144.269,3.66582
307,145.565,3.23837
308,149.829,3.28987
309,149.801,3.07729
310,149.19,4.10294
311,149.903,3.31936
312,0.298299,-0.960096
313,-0.984378,-1.17567
314,0.438085,-0.946205
315,-0.856955,-0.91614
316,4.85591,-1.02777
317,4.90887,-1.41539
318,5.07162,-0.923427
319,3.66723,-0.926996
320,10.9787,-1.00244
321,10.9908,-1.13712
322,11.0253,-0.807835
323,9.8645,-0.858706
324,17.0429,-0.900701
325,15.6695,-0.878448
326,17.1105,-0.715468
327,15.8078,-0.661392
328,22.9302,-0.797029
329,23.0154,-0.877239
330,23.1231,-0.592392
331,21.672,-0.601164
332,29.1168,-0.707204
333,28.9958,-0.857406
334,29.0746,-0.475168
335,27.8787,-0.538554
336,35.0238,-0.570605
337,34.8839,-0.675675
338,35.0749,-0.434733
339,33.7857,-0.361734
340,40.9833,-0.54036
341,40.8918,-0.612726
342,41.0946,-0.304019
343,40.1919,-0.372809
344,49.1248,-0.401723
345,49.5075,-0.517696
346,49.4617,-0.124714
347,48.4081,-0.17994
348,53.1233,-0.12387
349,53.2096,-0.28781
350,53.4024,-0.0792815
351,52.3079,-0.0863396
352,58.6491,-0.148681
353,58.776,-0.29545
354,59.0332,0.0203033
355,57.7724,-0.0273106
356,64.8691,-0.0863519
357,64.7344,-0.105664
358,64.9274,0.128328
359,63.7187,0.0769363
360,70.6933,0.130317
361,70.762,-0.166131
362,71.1178,0.199434
363,69.7092,0.261885
364,76.6522,0.20454
365,76.9652,-0.0103319
366,77.1675,0.270985
367,75.7396,0.291884
368,82.4522,0.217231
369,82.4165,0.0660967
370,82.5584,0.420285
371,81.3889,0.446203
372,88.8458,0.279696
373,88.4356,0.272403
374,88.6954,0.463257
375,87.2657,0.447888
376,94.3195,0.446396
377,94.7721,0.296683
378,94.5576,0.568219
379,93.5393,0.503322
380,102.721,0.559395
381,102.897,0.476085
382,102.919,0.685837
383,101.769,0.754483
384,106.577,0.710472
385,106.865,0.542314
386,106.919,0.732011
387,105.787,0.786446
388,112.547,0.563086
389,112.53,0.503768
390,112.469,0.822553
391,111.546,0.692055
392,118.005,0.777183
393,118.282,0.644985
394,118.477,0.919099
395,117.296,0.9121
396,124.048,0.884507
397,124.647,0.652345
398,124.575,0.98619
399,123.071,1.05974
400,130.378,0.859358
401,130.214,0.712895
402,130.432,1.0844
403,129.05,1.12721
404,137.119,0.871809
405,136.371,0.88977
406,136.429,1.17619
407,135.196,1.27952
408,142.269,1.05159
409,141.064,1.13837
410,142.451,1.28381
411,141.141,1.29817
412,149.71,1.20634
413,149.908,1.14626
414,149.93,1.39412
415,149.399,0.669968
416,-1.00666,-2.04174
417,-0.634917,-2.86185
418,0.44827,-1.98195
419,-0.766004,-2.04777
421,8.00944,-1.9596
422,8.00858,-2.19741
423,8.02603,-1.97783
424,6.91866,-1.96194
425,14.1158,-1.98206
426,14.1993,-2.17742
427,14.1888,-1.77815
428,12.9229,-1.78471
429,20.0099,-1.86615
430,20.0666,-1.98202
431,20.2472,-1.71114
432,18.8342,-1.71285
433,25.9312,-1.7865
434,26.1635,-1.93151
435,26.1745,-1.57199
436,24.8765,-1.56375
437,32.106,-1.66648
438,32.2141,-1.82161
439,32.2113,-1.49489
440,30.837,-1.43332
441,38.0178,-1.60383
442,38.1239,-1.71934
443,38.1861,-1.4349
444,36.9821,-1.38465
445,43.9519,-1.43889
446,43.9943,-1.62675
447,44.0617,-1.3197
448,42.7156,-1.33903
449,49.3965,-1.44205
450,49.4398,-1.50334
451,49.5154,-1.19121
452,48.4105,-1.29117
453,53.3908,-1.18666
454,53.2494,-1.52737
455,53.47,-1.16123
456,52.3538,-1.12084
457,61.9863,-1.1014
458,61.8099,-1.32923
459,61.9497,-0.977003
460,60.8706,-1.12637
461,67.9689,-1.06126
462,68.3252,-1.18864
463,68.1132,-0.920051
464,66.8842,-0.846662
465,74.0333,-0.977128
466,74.092,-1.14366
467,74.1497,-0.774689
468,73.0577,-0.787461
469,79.3684,-0.804744
470,79.4546,-1.0632
471,79.5024,-0.723807
472,78.2182,-0.655062
473,85.4361,-0.771647
474,85.5915,-0.936873
475,85.579,-0.733301
476,84.2,-0.624895
477,91.2302,-0.604177
478,91.4674,-0.770335
479,91.5866,-0.521319
480,90.2616,-0.564128
481,97.5817,-0.526091
482,97.3682,-0.751206
483,97.6322,-0.431906
484,96.3887,-0.337311
485,102.886,-0.573237
486,102.801,-0.700862
487,102.967,-0.266163
488,101.804,-0.454891
489,106.942,-0.471357
490,106.834,-0.519269
491,106.932,-0.364419
492,105.523,-0.304482
493,115.393,-0.335749
494,115.507,-0.487801
495,115.423,-0.216561
496,114.45,-0.134426
497,121.466,-0.26952
498,121.362,-0.418085
499,121.457,-0.0853523
500,120.212,-0.0755554
501,127.473,-0.217621
502,127.518,-0.313123
503,127.502,-0.0212039
504,126.144,0.0628599
505,133.284,-0.0492649
506,133.297,-0.255169
507,133.393,0.181465
508,132.189,0.103789
509,139.411,-0.0342765
510,139.58,-0.148236
511,139.428,0.0506772
512,138.172,0.202191
513,145.244,0.114743
514,145.541,-0.0554732
515,145.452,0.299065
516,144.448,0.401954
517,149.73,0.153355
518,149.794,-0.0181605
519,149.892,0.380516
520,148.737,0.228609
521,-0.893353,-3.18766
522,0.168763,-3.76864
523,0.509218,-3.08163
524,-0.787909,-3.12566
525,4.99712,-2.99199
526,4.93834,-3.30725
527,5.24911,-3.0247
528,3.95539,-3.01964
529,11.0635,-3.05475
530,10.9092,-3.01217
531,11.2512,-2.83215
532,10.116,-2.83014
533,17.0796,-2.95115
534,17.1588,-3.12177
535,17.2388,-2.7842
536,16.1023,-2.83392
537,23.0531,-2.8872
538,23.2064,-2.99797
