time,x,y,theta
1753181546.472280,10.071579,7.639249,-0.095173
1753181546.578402,10.121949,7.613927,-0.096252
1753181546.681091,10.238193,7.611244,-0.100066
1753181546.773844,10.420843,7.578104,-0.096119
1753181546.878083,10.536978,7.563749,-0.094787
1753181546.972740,10.695427,7.573113,-0.103136
1753181547.080148,10.926755,7.493977,-0.099474
1753181547.175915,10.953336,7.517865,-0.106253
1753181547.280201,11.156039,7.497776,-0.106205
1753181547.393807,11.232828,7.481296,-0.101214
1753181547.468805,11.345661,7.482818,-0.108647
1753181547.574771,11.475250,7.467598,-0.110926
1753181547.671502,11.658213,7.439837,-0.110978
1753181547.774638,11.793663,7.417598,-0.113734
1753181547.874978,11.868220,7.406645,-0.113509
1753181547.973205,12.028012,7.384045,-0.113128
1753181548.071472,12.046144,7.393234,-0.122811
1753181548.179147,12.242248,7.323239,-0.115196
1753181548.283455,12.322076,7.350295,-0.118393
1753181548.378263,12.465899,7.317366,-0.113884
1753181548.474174,12.678478,7.293218,-0.110777
1753181548.573925,12.751428,7.288601,-0.109163
1753181548.671307,12.901274,7.251071,-0.102096
1753181548.775130,12.949447,7.274583,-0.097424
1753181548.883243,13.113750,7.232166,-0.085979
1753181548.968962,13.226776,7.232759,-0.090372
1753181549.073962,13.421700,7.201387,-0.087795
1753181549.184248,13.491383,7.189708,-0.089212
1753181549.272844,13.623201,7.193703,-0.094683
1753181549.378098,13.777310,7.142897,-0.088439
1753181549.470205,13.883883,7.165920,-0.097008
1753181549.572956,14.034121,7.142194,-0.090766
1753181549.678804,14.161146,7.144946,-0.092984
1753181549.769906,14.327802,7.155091,-0.094926
1753181549.870635,14.473274,7.121071,-0.092840
1753181549.976006,14.575515,7.120761,-0.089901
1753181550.071672,14.735111,7.113136,-0.074490
1753181550.168097,14.869913,7.090603,-0.064260
1753181550.269969,15.001453,7.063509,-0.058604
1753181550.375710,15.060351,7.078490,-0.055340
1753181550.473419,15.223586,7.089447,-0.062466
1753181550.573357,15.322211,7.038609,-0.049729
1753181550.680699,15.558110,7.041317,-0.054047
1753181550.776643,15.683849,7.035217,-0.058424
1753181550.880572,15.790942,7.023728,-0.057198
1753181550.969421,15.835464,7.030415,-0.061887
1753181551.075194,15.996378,7.017087,-0.057891
1753181551.175763,16.153439,7.001481,-0.062344
1753181551.278042,16.261591,6.993859,-0.064342
1753181551.374208,16.392551,6.970756,-0.064666
1753181551.471704,16.530870,6.973827,-0.063644
1753181551.576220,16.676271,6.964717,-0.065825
1753181551.679783,16.794056,6.952706,-0.068558
1753181551.775120,16.945181,6.927412,-0.069889
1753181551.870817,17.108492,6.928857,-0.072837
1753181551.971156,17.219952,6.914402,-0.074587
1753181552.073464,17.296923,6.912413,-0.079374
1753181552.180360,17.366722,6.904583,-0.078579
1753181552.282429,17.578547,6.877271,-0.079684
1753181552.385229,17.663549,6.873693,-0.080544
1753181552.474111,17.756804,6.862160,-0.083395
1753181552.583418,17.933756,6.851356,-0.084508
1753181552.671370,18.146925,6.810265,-0.088259
1753181552.776918,18.272692,6.807089,-0.088622
1753181552.872207,18.435062,6.799571,-0.086882
1753181552.971936,18.509125,6.798033,-0.086573
1753181553.073853,18.667452,6.780495,-0.089709
1753181553.181292,18.812981,6.758658,-0.092484
1753181553.282224,18.924465,6.746150,-0.099454
1753181553.377714,19.051020,6.719907,-0.096735
1753181553.473486,19.169920,6.711020,-0.099412
1753181553.572197,19.305136,6.708672,-0.100231
1753181553.673969,19.459562,6.691037,-0.104540
1753181553.770152,19.550888,6.692340,-0.100900
1753181553.873624,19.756933,6.677515,-0.094822
1753181553.980016,19.834625,6.664087,-0.089535
1753181554.076227,19.985332,6.621609,-0.090289
1753181554.179253,19.998198,6.631269,-0.090931
1753181554.277584,20.136692,6.620090,-0.090238
1753181554.373756,20.300215,6.601381,-0.090695
1753181554.472943,20.392773,6.585443,-0.088052
1753181554.570152,20.549202,6.568275,-0.091465
1753181554.672034,20.772182,6.551323,-0.096211
